MainGenre,Year,Original,Series or Movie,IMDb Score,BoxOfficeProfits,color,Title,Genre
ACTION,2010.0,0.0,Movie,4.0,131772187.0,#001bff,The Last Airbender,"Action, Adventure, Family, Fantasy"
ACTION,2010.0,0.0,Movie,7.2,148415853.0,#001bff,Megamind,"Animation, Action, Comedy, Family, Sci-Fi"
ACTION,2010.0,0.0,Movie,6.6,105269730.0,#001bff,Robin Hood,"Action, Adventure, Drama, History"
ACTION,2010.0,0.0,Movie,8.1,217581231.0,#001bff,How to Train Your Dragon,"Animation, Action, Adventure, Family, Fantasy"
ACTION,2010.0,0.0,Movie,7.0,117229692.0,#001bff,Jackass 3,"Documentary, Action, Comedy"
ACTION,2010.0,0.0,Movie,7.0,312433331.0,#001bff,Iron Man 2,"Action, Adventure, Sci-Fi"
ACTION,2010.0,0.0,Movie,6.8,108589.0,#001bff,Wild Target,"Action, Comedy, Crime"
ACTION,2010.0,0.0,Movie,6.0,67631157.0,#001bff,The Tourist,"Action, Romance, Thriller"
ACTION,2010.0,0.0,Movie,7.0,90380162.0,#001bff,RED,"Action, Comedy, Crime, Thriller"
ACTION,2010.0,0.0,Movie,6.3,23591432.0,#001bff,The Losers,"Action, Adventure, Crime, Mystery, Thriller"
ACTION,2010.0,0.0,Movie,5.3,40168080.0,#001bff,Legion,"Action, Fantasy, Horror"
ACTION,2010.0,0.0,Movie,5.5,47059963.0,#001bff,Killers,"Action, Comedy, Romance, Thriller"
ACTION,2010.0,0.0,Movie,6.2,176591618.0,#001bff,The Karate Kid,"Action, Drama, Family, Sport"
ACTION,2010.0,0.0,Movie,6.5,24077427.0,#001bff,From Paris with Love,"Action, Crime, Thriller"
ACTION,2010.0,0.0,Movie,6.5,103068524.0,#001bff,The Expendables,"Action, Adventure, Thriller"
ACTION,2010.0,0.0,Movie,5.5,24307086.0,#001bff,The Spy Next Door,"Action, Comedy, Family"
ACTION,2010.0,0.0,Movie,6.8,0.0,#ff3351,Kung Fu Panda: Holiday,"Animation, Short, Action, Comedy, Family"
ACTION,2010.0,0.0,Movie,5.0,300531751.0,#001bff,The Twilight Saga: Eclipse,"Action, Adventure, Drama, Fantasy, Romance, Thriller"
ACTION,2010.0,0.0,Movie,5.6,67061228.0,#001bff,The Bounty Hunter,"Action, Comedy, Romance"
ACTION,2010.0,0.0,Movie,6.9,94835059.0,#001bff,The Book of Eli,"Action, Adventure, Drama, Thriller"
ACTION,2010.0,0.0,Movie,7.3,21148651.0,#001bff,The Next Three Days,"Action, Crime, Drama, Romance, Thriller"
ACTION,2010.0,0.0,Movie,7.5,205675.0,#001bff,Ip Man 2,"Action, Biography, Drama, History"
ACTION,2010.0,0.0,Series,6.9,0.0,#ff3351,1920. Wojna i milosc,"Action, History, Romance, War"
ACTION,2010.0,0.0,Series,6.8,81562942.0,#001bff,Unstoppable,"Action, Thriller"
ACTION,2010.0,0.0,Series,8.4,0.0,#ff3351,Millennium,"Action, Crime, Mystery, Thriller"
ACTION,2010.0,0.0,Series,7.8,0.0,#ff3351,Unriddle,"Action, Adventure, Drama, Mystery, Thriller"
ACTION,2010.0,0.0,Series,6.8,0.0,#ff3351,Demon King Daimao,"Animation, Action, Comedy, Fantasy"
ACTION,2010.0,0.0,Series,7.7,0.0,#ff3351,Angel Beats,"Animation, Action, Comedy, Drama, Fantasy"
ACTION,2010.0,0.0,Series,6.9,0.0,#ff3351,El Cartel 2,"Action, Crime, Horror, Thriller, War"
ACTION,2010.0,0.0,Series,7.4,0.0,#ff3351,Arn: The Knight Templar: The Complete Series,"Action, Drama, Romance, War"
ACTION,2010.0,0.0,Series,8.6,0.0,#ff3351,Young Justice,"Animation, Action, Adventure, Crime, Romance, Sci-Fi"
ACTION,2010.0,0.0,Series,8.5,0.0,#ff3351,Spartacus,"Action, Adventure, Biography, Drama, History, Romance"
ACTION,2010.0,0.0,Series,7.9,0.0,#ff3351,Transformers Prime,"Animation, Action, Adventure, Comedy, Drama, Family, Sci-Fi"
ACTION,2010.0,0.0,Series,7.0,0.0,#ff3351,The Legend of Bruce Lee,"Action, Biography, Drama"
ACTION,2010.0,0.0,Series,8.6,0.0,#ff3351,Adventure Time,"Animation, Short, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi"
ACTION,2011.0,0.0,Movie,6.1,0.0,#ff3351,The Assault,"Action, History, Thriller"
ACTION,2011.0,0.0,Movie,7.1,11137.0,#001bff,Dragon,"Action, Crime, Drama, Thriller"
ACTION,2011.0,0.0,Movie,7.4,0.0,#ff3351,Doraemon: Nobitas Chronicle of the Moon Exploration,"Animation, Action, Adventure, Comedy, Drama, Family, Fantasy, Sci-Fi"
ACTION,2011.0,0.0,Movie,6.7,0.0,#ff3351,Cest la vie!,"Animation, Action, Fantasy, Mystery, Sci-Fi"
