,Actors,Title,X,Y
49102,Yûki Kaji,Attack on Titan Crimson Bow and Arrow,2014,7.5
49103,Yûki Kaji,Attack on Titan: The Wings of Freedom,2015,7.8
49104,Yûki Kaji,Attack on Titan: The Roar of Awakening,2018,8.1
49105,Yûki Morinaga,The Liar and His Lover,2013,7.0
49106,Yûki Morinaga,Alice in Borderland,2020,7.7
49107,Yûki Takada,New Game!,2016,7.1
49108,Yûko Asano,Sky of Love,2007,7.0
49109,Yûko Mizutani,Digimon Adventure,1999,7.9
49110,Yûko Nakamura,Love and Treachery,2011,5.3
49111,Yûko Takeuchi,Ringu,1998,7.2
49112,Yûko Takeuchi,Heavens Bookstore,2004,6.5
49113,Yûko Takeuchi,Be with You,2004,7.9
49114,Yûko Takeuchi,Glory Of Team Batista,2008,5.9
49115,Yûko Takeuchi,Golden Slumber,2010,7.1
49116,Yûko Takeuchi,The Magnificent Nine,2016,6.5
49117,Yûna Taira,Ao Oni ver.2.0,2015,5.1
49118,Yûna Taira,ReLIFE,2017,6.8
49119,Yûna Taira,Sagrada Reset,2017,6.0
49120,Yûsuke Kobayashi,Sirius the Jaeger,2018,6.8
49121,Yûsuke Santamaria,Bayside Shakedown 3: Set the Guys Loose,2010,5.5
49122,Yûto Uemura,Bungo Stray Dogs,2016,7.7
49123,Yûya Yagira,Nobody Knows,2004,8.1
49124,Yûya Yagira,Destruction Babies,2016,5.4
49125,Zabryna Guevara,The Guilt Trip,2012,5.7
49126,Zac Efron,Charlie St. Cloud,2010,6.4
49127,Zac Efron,New Years Eve,2011,5.7
49128,Zac Efron,The Lucky One,2012,6.5
49129,Zac Efron,Dr. Seuss The Lorax,2012,6.4
49130,Zac Efron,That Awkward Moment,2014,6.2
49131,Zac Efron,We Are Your Friends,2015,6.2
49132,Zac Efron,Mike and Dave Need Wedding Dates,2016,6.0
49133,Zac Efron,Dirty Grandpa,2016,5.9
49134,Zac Efron,The Greatest Showman,2017,7.6
49135,Zac Efron,"Extremely Wicked, Shockingly Evil and Vile",2019,6.6
49136,Zac Efron,Down to Earth with Zac Efron,2020,8.1
49137,Zach Avery,Last Moment of Clarity,2020,5.2
49138,Zach Cohen,Another World,2016,4.4
49139,Zach Galifianakis,Dinner for Schmucks,2010,5.9
49140,Zach Galligan,Gremlins 2: The New Batch,1990,6.4
49141,Zach Grenier,Maximum Risk,1996,5.5
49142,Zach Grenier,Rescue Dawn,2007,7.3
49143,Zach LeBlanc,Beyblade Burst,2016,6.4
49144,Zach LeBlanc,Beyblade Burst Evolution,2017,8.6
49145,Zach McGowan,Scorpion King 5: Book of Souls,2018,4.7
49146,Zach Tyler,Avatar: The Last Airbender,2005,9.2
49147,Zach Woods,Ghostbusters,2016,6.4
49148,Zachary Bailess,The Worlds End,2013,7.0
49149,Zachary Bloch,Super Why!,2007,6.1
49150,Zachary Quinto,Star Trek,2009,7.9
49151,Zachary Ruane,Aunty Donnas Big Ol House of Fun,2016,8.8
49152,Zachery Ty Bryan,The Fast and the Furious: Tokyo Drift,2006,6.0
49153,Zafer Diper,Toll Booth,2012,6.4
49154,Zahiril Adzim,Bunohan: Return to Murder,2012,6.0
49155,Zahiril Adzim,Pekak,2016,6.3
49156,Zahiril Adzim,Crossroads: One Two Jaga,2018,6.5
49157,Zainab Balogun,The Royal Hibiscus Hotel,2018,5.3
49158,Zainab Balogun,Chief Daddy,2018,5.0
49159,Zak Orth,Wet Hot American Summer,2015,7.4
49160,Zak Orth,Wet Hot American Summer: Ten Years Later,2017,6.9
49161,Zandile Msutwana,White Wedding,2009,5.8
49162,Zanjoe Marudo,One More Try,2012,6.1
49163,Zanjoe Marudo,The Third Party,2016,6.1
49164,Zara Udofia Ejoh,93 Days,2016,6.0
49165,Zarina Wahab,Viswasapoorvam Mansoor,2017,5.9
49166,Zarul Asyraf,Mat Moto,2016,2.7
49167,Zayn Marie Khan,Mrs. Serial Killer,2020,4.5
49168,Zazie Beetz,Atlanta,2016,8.6
49169,Zbigniew Zamachowski,Walesa: Man of Hope,2013,6.5
49170,Zdenek Piskula,Zlatý podraz,2018,6.0
49171,Zdenek Stepánek,Voyage to the End of the Universe,1964,7.0
49172,Zeca Pagodinho,Emicida: AmarElo - It’s All For Yesterday,2020,8.7
49173,Zeenat Aman,Alibaba Aur 40 Chor,1980,6.2
49174,Zeina,Boushkash,2008,5.1
49175,Zeina,Bewildered Bolbol,2010,6.4
49176,Zeynep Kankonde,Görümce,2016,5.0
49177,Zeynep Tugçe Bayat,Şansımı Seveyim,2017,5.0
49178,Zhang Wen,Love is Not Blind,2011,6.5
49179,Zhe Ahn,Shimajiro and the Rainbow Oasis,2018,6.9
49180,Zheming Qu,Us and Them,2018,7.4
49181,Zhen Huan Zhang,The Dream Job,2016,5.9
49182,Zhu Zhu,Edge of Fear,2018,4.4
49183,Zhuo Tan,The Bravest,2019,5.6
49184,Ziah Colon,To the Bone,2017,6.8
49185,Ziggy Marley,Marley,2012,8.0
49186,Zijing Yan,The Kings Avatar,2019,6.5
49187,Zina Zinchenko,7 Days in Entebbe,2018,5.8
