,Actors,Title,X,Y
0, 2'Live Bre,Rhythm + Flow,2019,7.7
1, 50 Cent,Get Rich or Die Tryin,2005,5.4
2, 50 Cent,Righteous Kill,2008,6.0
3, 50 Cent,Freelancers,2013,4.7
4, 50 Cent,Den of Thieves,2018,7.0
5, 50 Cent,Escape Plan: The Extractors,2019,4.4
6, A. Russell Andrews,The Punisher,2004,6.4
7, A.J. Cook,Criminal Minds,2005,8.1
8, A.J. Daulerio,Nobody Speak: Trials of the Free Press,2017,6.5
9, A.J. LoCascio,Dawn of the Croods,2015,6.0
10, A.J. LoCascio,LEGO Jurassic World: The Indominus Escape,2016,5.7
11, A.S. Sasi Kumar,Manusangada,2018,8.0
12, AJ Bowen,Youre Next,2013,6.6
13, AJ Meijer,The Laundromat,2019,6.3
14, AJ Michalka,Grace Unplugged,2014,6.1
15, AJ Michalka,She-Ra and the Princesses of Power,2018,7.8
16, AJ Rivera,Escape from Mr. Lemoncello’s Library,2017,5.3
17, ASAP Rocky,Dope,2015,7.2
18, ASAP Rocky,Have a Good Trip: Adventures in Psychedelics,2020,6.8
19, Aadarsh Balakrishna,W/O Ram,2018,6.1
20, Aadhi,Neevevaro,2018,6.8
21, Aakash Banerjee,Kaakan,2015,8.0
22, Aakash Pandey,Shabd,2005,5.1
23, Aakshath Das,Mersal,2017,7.6
24, Aakshath Das,Serious Men,2020,6.8
25, Aaliyah Cinello,Mighty Express: A Mighty Christmas,2020,5.0
26, Aamir Bashir,Gurgaon,2017,6.5
27, Aamir Khan,Heart & Soul,1990,6.7
28, Aamir Khan,Andaz Apna Apna,1994,8.2
29, Aamir Khan,Mann,1999,6.2
30, Aamir Khan,Dil Chahta Hai,2001,8.1
31, Aamir Khan,Lagaan,2001,8.1
32, Aamir Khan,Rang De Basanti,2006,8.2
33, Aamir Khan,Taare Zameen Par,2007,8.4
34, Aamir Khan,Dhobi Ghat (Mumbai Diaries),2011,7.0
35, Aamir Khan,Dangal,2016,8.4
36, Aamir Khan,Secret Superstar,2017,7.8
37, Aaran Thomas,Hannibal Rising,2007,6.2
38, Aarif Rahman,The Allure of Tears,2011,5.0
39, Aarif Rahman,The Thousand Faces of Dunjia,2017,5.4
40, Aarnaa Sharma,Typewriter,2019,6.5
41, Aaron Abrams,Entangled,2014,8.1
42, Aaron Adatsi,Sidechic Gang,2018,5.9
43, Aaron Altaras,The Invisibles,2017,7.1
44, Aaron Altaras,The Invisibles,2017,7.1
45, Aaron Benjamin,Honey 2,2011,5.3
46, Aaron Burns,Knock Knock,2015,4.9
47, Aaron Campbell,The Helpful Fox Senko-san,2019,6.8
48, Aaron Conley,Angelo Rules,2010,6.4
49, Aaron Dismuke,Fullmetal Alchemist,2004,8.5
50, Aaron Dismuke,Ping Pong the Animation,2014,8.6
51, Aaron Dismuke,blood blockade battlefront,2015,7.3
52, Aaron Dismuke,Bem,2019,6.0
53, Aaron Eckhart,Paycheck,2003,6.3
54, Aaron Eckhart,No Reservations,2007,6.3
55, Aaron Eckhart,The Dark Knight,2008,9.0
56, Aaron Eckhart,Love Happens,2009,5.7
57, Aaron Eckhart,Erased,2012,6.1
58, Aaron Eckhart,The Expatriate,2012,6.1
59, Aaron Eckhart,Olympus Has Fallen,2013,6.5
60, Aaron Eckhart,"I, Frankenstein",2014,5.1
61, Aaron Eckhart,My All American,2015,7.2
62, Aaron Eckhart,Sully,2016,7.4
63, Aaron Eckhart,Bleed for This,2016,6.8
64, Aaron Eckhart,Incarnate,2016,5.3
65, Aaron Farb,The Leaves,2019,4.6
66, Aaron Glenane,2067,2020,4.8
67, Aaron Guy,Giving Voice,2020,6.7
68, Aaron Harberts,After Trek,2017,4.9
69, Aaron Hill,A Perfect Christmas List,2014,5.7
70, Aaron Jakubenko,The Shannara Chronicles,2016,7.2
71, Aaron Jakubenko,Tidelands,2018,7.0
72, Aaron Kao,Gone Shopping,2007,6.6
73, Aaron Kwok,The Bare-Footed Kid,1993,6.5
74, Aaron Kwok,Future Cops,1993,6.0
75, Aaron Kwok,The Storm Riders,1998,6.4
76, Aaron Kwok,Para Para Sakura,2001,5.8
77, Aaron Kwok,Cold War,2012,6.6
78, Aaron Kwok,The Monkey King: Havoc in Heavens Palace,2016,4.9
79, Aaron Kwok,The Monkey King 2,2016,5.9
80, Aaron Kwok,The Monkey King 3,2018,5.5
81, Aaron McCusker,Incoming,2018,3.3
82, Aaron Moten,Disjointed,2017,6.8
83, Aaron Paul,Breaking Bad,2008,9.5
84, Aaron Paul,A Long Way Down,2014,6.4
85, Aaron Paul,Exodus: Gods and Kings,2014,6.0
86, Aaron Paul,Need for Speed,2014,6.4
87, Aaron Paul,Come and Find Me,2016,5.7
88, Aaron Paul,Fathers and Daughters,2016,7.1
89, Aaron Paul,Kingsglaive: Final Fantasy XV,2016,6.8
90, Aaron Paul,Welcome Home,2018,5.2
91, Aaron Paul,The Parts You Lose,2019,5.6
92, Aaron Paul,El Camino: A Breaking Bad Movie,2019,7.3
93, Aaron Pedersen,Goldstone,2016,6.5
94, Aaron Pedersen,Jack Irish: The Series,2017,7.8
95, Aaron Phillips,Great Pretender,2020,8.0
96, Aaron Stanford,12 Monkeys,2015,7.7
97, Aaron Stanford,Clinical,2017,5.1
98, Aaron Stielstra,Zombie Massacre 2: Reich of the Dead,2015,2.4
99, Aaron Taylor-Johnson,"Angus, Thongs and Perfect Snogging",2008,6.3
100, Aaron Taylor-Johnson,Kick-Ass,2010,7.6
101, Aaron Taylor-Johnson,Savages,2012,6.5
102, Aaron Taylor-Johnson,Kick-Ass 2,2013,6.5
103, Aaron Taylor-Johnson,Godzilla,2014,6.4
104, Aaron Taylor-Johnson,Godzilla,2014,6.4
105, Aaron Taylor-Johnson,Godzilla & Mothra: Battle for Earth,2014,6.4
106, Aaron Taylor-Johnson,Nocturnal Animals,2016,7.5
107, Aaron Yoo,21,2008,6.8
108, Aarre Karén,"Little Brother, Big Trouble",2012,5.7
109, Aaru Bala,Merku Thodarchi Malai,2018,8.6
110, Aaryan Menon,Lilli,2018,5.8
111, Aashish Bhatt,Umrika,2017,6.6
112, Aashritha,Orange Mittai,2015,6.5
113, Abbey Hoes,Verliefd Op Cuba,2019,4.9
114, Abbey Lee,Elizabeth Harvest,2018,5.8
115, Abbey Lee,Outlaws,2019,5.3
116, Abbie Cornish,Legend of the Guardians: The Owls of GaHoole,2010,6.9
117, Abbie Cornish,Limitless,2011,7.4
118, Abbie Cornish,Sucker Punch,2011,6.0
119, Abbie Cornish,W.E.,2012,6.3
120, Abbie Cornish,RoboCop,2014,6.1
121, Abbie Cornish,Solace,2016,6.4
122, Abbie Cornish,Lavender,2017,5.4
123, Abbie Cornish,Geostorm,2017,5.3
124, Abbie Cornish,6 Days,2017,6.2
125, Abbie Cornish,Where Hands Touch,2018,6.3
126, Abbie Davis,Fire in Paradise,2019,7.4
127, Abbie Schaub,The Keepers,2017,8.1
128, Abboudy Mallah,What Did I Mess,2018,7.2
129, Abby Craden,Upgrade,2018,7.5
130, Abby Donnelly,Malibu Rescue,2019,5.3
131, Abby Miller,أحمد حلمي - ليلى عز العرب - محمد فرج,2012,7.2
132, Abby Quinn,After The Wedding,2019,6.3
133, Abby Ryder Fortson,Forever My Girl,2018,6.7
134, Abby Trott,Carmen Sandiego,2019,7.9
135, Abby Trott,Carmen Sandiego: To Steal or Not to Steal,2020,7.0
136, Abdalla Bu Abed,Rattle the Cage,2015,6.7
137, Abdel Imam Abdullah,Menahi,2008,6.1
138, Abdellatif Chaouqi,Close,2019,5.7
139, Abderrahman Abou El Qassem,Waiting,2006,5.1
140, Abdullah Al-Busairi,Wedy Atkalam,2018,6.0
141, Abdullah Alzaid,Zero distance,2020,7.0
142, Abdullah Bin Heider,Hajwala: The Missing Engine,2016,2.1
143, Abdullah Bin Heider,Fan of Amoory,2020,5.1
144, Abdullah Husain,Freej,2006,8.5
145, Abdullah Ibrahim,Amandla! A Revolution in Four Part Harmony,2003,7.4
146, Abdullah Jan Ghaznavi,"Abdullah, The Final Witness",2016,7.0
147, Abdur-Rahman Muhammad,Who Killed Malcolm X?,2020,7.6
148, Abe Vigoda,Good Burger,1997,5.7
149, Abel Folk,The Barrier,2020,6.8
150, Abel Morrison,Three Wives One Husband,2017,6.5
151, Abhay Deol,Socha Na Tha,2005,7.4
152, Abhay Deol,Honeymoon Travels Pvt. Ltd.,2007,6.1
153, Abhay Deol,Manorama Six Feet Under,2007,7.6
154, Abhay Deol,Oye Lucky! Lucky Oye!,2008,7.7
155, Abhay Deol,Dev.D,2009,8.6
156, Abhay Deol,Zindagi Na Milegi Dobara,2011,8.2
157, Abhay Deol,One by Two,2014,4.2
158, Abhay Deol,Chopsticks,2019,6.5
159, Abhay Mahajan,CRD,2017,6.4
160, Abhay Mahajan,Luckee,2019,4.4
161, Abhimanyu Dasani,The Man Who Feels No Pain,2019,7.4
162, Abhimanyu Singh,Pranaam,2019,4.3
163, Abhinav Gomatam,Ee Nagaraniki Emaindi,2018,7.9
164, Abhishek Bachchan,Yuva,2004,7.4
165, Abhishek Bachchan,BluffMaster!,2005,6.6
166, Abhishek Bachchan,Kabhi Alvida Naa Kehna,2006,6.1
167, Abhishek Bachchan,Guru,2007,7.7
168, Abhishek Bachchan,Dostana,2008,6.5
169, Abhishek Bachchan,Friendship,2008,6.5
170, Abhishek Bachchan,Father,2009,7.2
171, Abhishek Bachchan,Delhi 6,2009,6.1
172, Abhishek Bachchan,Game,2011,5.2
173, Abhishek Bachchan,Players,2012,4.1
174, Abhishek Bachchan,Alles ist gut,2015,3.8
175, Abhishek Banerjee,Ajji,2017,6.9
176, Abhishek C,Bobby Jasoos,2014,5.5
177, Abhishek Deshmukh,15 August,2019,5.8
178, Abhishek H.N.,Thithi,2017,8.2
179, Abigail Adriano,THE UNLISTED,2019,6.5
180, Abigail Breslin,My Sisters Keeper,2009,7.4
181, Abigail Breslin,Zombieland,2009,7.6
182, Abigail Breslin,Rango,2011,7.2
183, Abigail Breslin,The Call,2013,6.7
184, Abigail Breslin,The Call,2013,6.7
185, Abigail Breslin,The Call,2013,6.7
186, Abigail Breslin,Scream Queens,2015,7.1
187, Abigail Breslin,Maggie,2015,5.6
188, Abigail Breslin,Zombieland: Double Tap,2019,6.7
189, Abigail Cowen,Fate: The Winx Saga,2021,7.0
190, Abigail Cruttenden,Await Further Instructions,2018,4.8
191, Abigail Gordon,Animal Mechanicals,2008,5.8
192, Abigail Oliver,Chip and Potato,2018,6.4
193, Abigail Pniowsky,The Rest Of Us,2020,6.2
194, Abigail Spencer,Cowboys and Aliens,2011,6.0
195, Abigail Spencer,The Forger,2015,5.8
196, Abigail Spencer,Timeless,2016,7.7
197, Abio Abie,Satria Heroes: Revenge of the Darkness,2017,3.7
198, Abir Chatterjee,The Royal Bengal Tiger,2014,6.9
199, Abraham Adesoye,Zarafa,2012,7.0
200, Abraham Clinkscales,Brightburn,2019,6.1
201, Abraham George,Daughters of Destiny,2017,8.6
202, Abraham Rodriguez,Power Rangers Beast Morphers,2019,6.9
203, Abu Omar,The White Helmets,2016,7.5
204, Abu Valayamkulam,Merku Thodarchi Malai,2018,8.6
205, Aby,Chicken Kokkachi,2017,4.7
206, Acchui,Gippi,2013,5.6
207, Acha Septriasa,What Love Means,2005,5.6
208, Achita Pramoj Na Ayudhya,Back to the 90s,2015,6.5
209, Achita Sikamana,Shutter,2004,7.1
210, Acoryé White,Juanita,2019,6.0
211, Ada Ameh,Òlòtūré,2020,5.4
212, Ada Choi,"Chinese Odyssey (Part II), A",1995,8.0
213, Ada Choi,S Storm,2016,5.2
214, Ada Condeescu,"If I Want to Whistle, I Whistle",2010,7.1
215, Ada Condeescu,Loverboy,2011,6.1
216, Ada Condeescu,By the Rails,2016,5.9
217, Ada Gales,A Decent Man,2018,5.5
218, Ada Lupu,The Crucifixion,2017,5.1
219, Ada Nicodemou,Heartbreak High,1994,7.8
220, Ada Pan,Iron Ladies,2018,6.0
221, Adah Sharma,Hasee Toh Phasee,2014,6.8
222, Adah Sharma,Bypass Road,2019,5.4
223, Adalberto Maria Merli,The Night Caller,1975,7.0
224, Adam Agee,God Bless the Broken Road,2018,5.6
225, Adam B. Shapiro,The Cobbler,2015,5.8
226, Adam Bay,61 Days,2016,7.4
227, Adam Beach,Flags of Our Fathers,2006,7.1
228, Adam Bengis,My Little Pony: The Movie,2017,6.1
229, Adam Brooks,Whatever Works,2009,7.1
230, Adam Brown,Liberated: The New Sexual Revolution,2017,6.0
231, Adam Butcher,Dog Pound,2010,7.0
232, Adam Buxton,Messy Goes to Okido,2015,6.9
233, Adam C. Edwards,Flight,2012,7.3
234, Adam Campbell,Great News,2017,7.0
235, Adam Chen,18 Grams of Love,2008,7.4
236, Adam Chen,Unriddle,2010,7.8
237, Adam Cronheim,The Battery,2013,6.4
238, Adam Cyra,Pilecki,2015,4.5
239, Adam Cywka,Artysci,2016,7.9
240, Adam Demos,Falling Inn Love,2019,5.6
241, Adam Devine,Mike and Dave Need Wedding Dates,2016,6.0
242, Adam Devine,When We First Met,2018,6.4
243, Adam Devine,Green Eggs and Ham,2019,8.2
244, Adam Devine,Jexi,2019,6.0
245, Adam DiMarco,Radio Rebel,2012,5.9
246, Adam DiMarco,The Order,2019,6.8
247, Adam Driver,Girls Night Out,2012,7.3
248, Adam Driver,Girls Robbery,2012,7.3
249, Adam Driver,Girls Secrets,2012,7.3
250, Adam Driver,What If,2014,6.8
251, Adam Driver,This Is Where I Leave You,2014,6.6
252, Adam Driver,What If,2014,6.8
253, Adam Driver,Midnight Special,2016,6.6
254, Adam Driver,Silence,2017,7.2
255, Adam Driver,The Man Who Killed Don Quixote,2018,6.4
256, Adam Driver,Marriage Story,2019,7.9
257, Adam Ferency,Na bank się uda,2019,4.4
258, Adam Gibbs,Parasyte: The Maxim,2016,8.3
259, Adam Gibbs,GHOUL,2018,6.9
260, Adam Gibbs,Hinomaru Sumo,2018,7.2
261, Adam Gopnik,Invisible Essence: The Little Prince,2019,7.7
262, Adam Greaves-Neal,The Young Messiah,2016,5.6
263, Adam Hampton,The Jurassic Games,2020,3.8
264, Adam Henderson,Mobile Suit Gundam Seed,2002,7.7
265, Adam Herschman,Accepted,2006,6.4
266, Adam Hochstetter,The Massively Mixed-Up Middle School Mystery,2015,7.2
267, Adam Horovitz,Roxanne Roxanne,2018,6.2
268, Adam Horovitz,Golden Exits,2018,5.8
269, Adam Korson,Serialized,2016,5.2
270, Adam Lambert,Playmobil: The Movie,2019,4.8
271, Adam Levine,The Clapper,2018,5.1
272, Adam Long,The Kill Team,2019,5.9
273, Adam Lundgren,Bitchkram,2012,6.0
274, Adam Marcinowski,Thanks!,2011,8.3
275, Adam Pascal,School of Rock,2003,7.1
276, Adam Pålsson,Moscow Noir,2018,6.8
277, Adam Pålsson,Young Wallander,2020,6.8
278, Adam Rayner,The Saint,2017,4.9
279, Adam Rothenberg,Ripper Street,2013,8.1
280, Adam Sandler,Billy Madison,1995,6.4
281, Adam Sandler,Mr. Deeds,2002,5.8
282, Adam Sandler,50 First Dates,2004,6.8
283, Adam Sandler,The Longest Yard,2005,6.4
284, Adam Sandler,Click,2006,6.4
285, Adam Sandler,You Dont Mess with the Zohan,2008,5.5
286, Adam Sandler,Just Go With It,2011,6.4
287, Adam Sandler,Hotel Transylvania,2012,7.1
288, Adam Sandler,Thats My Boy,2012,5.5
289, Adam Sandler,Hotel Transylvania 2,2015,6.7
290, Adam Sandler,The Meyerowitz Stories (New and Selected),2017,6.9
291, Adam Sandler,Hotel Transylvania 3: Summer Vacation,2018,6.3
292, Adam Sandler,Murder Mystery,2019,6.0
293, Adam Scherr,No Mercy,2017,6.1
294, Adam Scott,"Lovely, Still",2010,7.1
295, Adam Scott,Leap Year,2010,6.5
296, Adam Scott,Friends with Kids,2012,6.1
297, Adam Scott,The Overnight,2015,6.1
298, Adam Scott,Little Evil,2017,5.7
299, Adam Sevani,Step Up 2: The Streets,2008,6.2
300, Adam Sevani,Step Up 3,2010,6.2
301, Adam Sevani,Step Up: All In,2014,6.0
302, Adam Sollis,Dance Academy: The Comeback,2018,7.0
303, Adam Tuominen,A 2nd Chance,2015,4.7
304, Adam Woronowicz,Święty interes,2010,4.7
305, Adam Woronowicz,Baby są jakieś inne,2011,5.9
306, Adama Niane,Gang of the Caribbean,2016,5.2
307, Adama Niane,Get In,2019,5.6
308, Adamo Dionisi,Dogman,2019,7.2
309, Adamya,Autohead,2019,5.9
310, Adan Canto,Designated Survivor,2016,7.5
311, Adan Jodorowsky,Zoé: Panoramas,2017,6.9
312, Adarsh Gautam,Bal Ganesh,2007,6.9
313, Adarsh Gautam,Bal Ganesh,2007,6.9
314, Adarsh Gourav,Rukh,2017,6.4
315, Adarsh Gourav,The White Tiger,2021,7.2
316, Addison Holley,Daniel Tigers Neighborhood,2012,7.4
317, Addison Riecke,The Thundermans,2013,5.8
318, Addison Tymec,Disappearance at Clifton Hill,2020,5.5
319, Adeel Hashmi,The Donkey King,2018,6.4
320, Adel Bencherif,Close Enemies,2018,6.3
321, Adel Karam,The Insult,2019,7.7
322, Adela Marghidan,Strajerii,2018,6.2
323, Adelaide Castillo,Valor,2019,8.2
324, Adelaide de Sousa,A Febre,2001,7.8
325, Adelayo Adedayo,Gone Too Far,2014,5.7
326, Adelfa Calvo,The Motive,2017,6.5
327, Adelina Pestritu,#Selfie 69,2016,6.2
328, Adem Atbas,Recep Ivedik 4,2014,3.7
329, Ademir Esteves,Our Evil,2019,5.5
330, Ademola Adedoyin,October 1,2014,6.6
331, Ademola Adedoyin,Lara and the Beat,2018,5.8
332, Aden Young,Reckoning,2020,6.6
333, Adeolu Adefarasin,The Wedding Party 2: Destination Dubai,2017,4.7
334, Adeolu Adefarasin,New Money,2018,4.9
335, Adesua Etomi-Wellington,The Arbitration,2016,5.8
336, Adesua Etomi-Wellington,Couple of Days,2016,6.5
337, Adesua Etomi-Wellington,Ayamma,2016,6.7
338, Adesua Etomi-Wellington,10 Days in Sun City,2017,5.2
339, Adesua Etomi-Wellington,In Line,2017,5.7
340, Adesua Etomi-Wellington,"Crazy, Lovely, Cool",2018,8.1
341, Adesua Etomi-Wellington,King of Boys,2018,5.8
342, Adesua Etomi-Wellington,The Set Up,2019,4.9
343, Adetola Anifalaje,Moms at War,2018,6.2
344, Adham Ahmad,From Japan to Egypt,2017,5.4
345, Adhir Kalyan,Second Chance,2016,7.5
346, Adhir Kalyan,Second Chance,2016,7.5
347, Adhvik Mahajan,Contract,2008,4.1
348, Adi Kurdi,When Will You Get Married?,2015,7.3
349, Adi Shankar,Enter the Anime,2019,2.5
350, Adil Dehbi,Taste of Love,2016,5.8
351, Adil Dehbi,The Eddy,2020,7.2
352, Adil Hussain,English Vinglish,2012,7.8
353, Adil Hussain,Dagh Ujala,2015,5.1
354, Adil Hussain,Force 2,2016,6.2
355, Adil Hussain,The Violin Player,2016,6.9
356, Adil Hussain,The Violin Player,2016,6.9
357, Adil Hussain,​Maj Rati ​​Keteki,2017,7.1
358, Adil Hussain,What Will People Say,2018,7.4
359, Adin Rudd,Mobile Suit Gundam: Iron-Blooded Orphans,2015,7.9
360, Adina Porter,Miss Virginia,2019,6.9
361, Adinda Azani,Rompis,2018,7.9
362, Adipati Dolken,Posesif,2017,7.3
363, Adipati Dolken,3 Dara 2,2018,6.9
364, Adipati Dolken,#FriendButMarried,2018,6.9
365, Adipati Dolken,Love for Sale 2,2019,6.9
366, Adipati Dolken,Hunter in the Blue Side of Manchester,2020,6.1
367, Adithya Menon,Guna 369,2019,6.1
368, Aditi Rao Hydari,The Legend of Michael Mishra,2016,4.5
369, Aditi Rao Hydari,Psycho,2020,6.3
370, Aditi Sharma,Laatu,2018,6.6
371, Aditi Sudhir Pohankar,She,2020,6.5
372, Aditi Vasudev,Do Dooni Chaar,2010,7.6
373, Aditya Roy Kapoor,Action Replayy,2010,4.2
374, Aditya Roy Kapoor,Guzaarish,2010,7.4
375, Aditya Roy Kapoor,Yeh Jawaani Hai Deewani,2013,7.1
376, Aditya Roy Kapoor,Fitoor,2016,5.4
377, Aditya Roy Kapoor,Malang,2020,6.5
378, Aditya Seal,Indoo Ki Jawani,2020,1.4
379, Aditya Srivastav,Raat Akeli Hai,2020,7.3
380, Adjetey Anang,The Perfect Picture: Ten Years Later,2020,6.3
381, Adjetey Anang,Azali,2020,5.6
382, Adlina Adil,Banting,2014,5.4
383, Adnan Haskovic,Twice Born,2013,7.4
384, Adnan Maral,Türkisch für Anfänger,2012,5.8
385, Adnan Siddiqui,Mom,2017,7.3
386, Adolf Hitler,The Silence of Others,2019,8.0
387, Adrian Anghel,Povestea unui pierde vara,2018,6.6
388, Adrian Bouchet,Kingsglaive: Final Fantasy XV,2016,6.8
389, Adrian Carvajal,Jenni Rivera: Mariposa de Barrio,2017,6.9
390, Adrian Dunbar,Line of Duty,2012,8.7
391, Adrian Dunbar,Line of Duty,2012,8.7
392, Adrian Grenier,Entourage,2015,6.6
393, Adrian Grenier,Marauders,2016,5.5
394, Adrian Grenier,Stage Mother,2020,6.5
395, Adrian Holmes,V Wars,2019,6.1
396, Adrian Julius Tillmann,Biohackers,2020,6.7
397, Adrian Ladron,The 4th Company,2018,6.2
398, Adrian Lester,Undercover,2016,6.9
399, Adrian Makala,Los Simuladores,2008,8.4
400, Adrian Makala,La Esclava Blanca,2016,8.3
401, Adrian Martinez,Focus,2015,6.6
402, Adrian Pang,Gone Shopping,2007,6.6
403, Adrian Pang,Dance Dance Dragon,2012,5.7
404, Adrian Pasdar,Marvel Anime: X-Men,2010,6.8
405, Adrian Paul,The Graveyard Story,1991,3.9
406, Adrian Paul,Black Rose,2017,2.5
407, Adrian Petriw,Barbie: A Fairy Secret,2011,5.7
408, Adrian Petriw,Beyblade Burst,2016,6.4
409, Adrian Petriw,The Hollow,2018,7.2
410, Adrian Petriw,LEGO Jurassic World: Legend of Isla Nublar,2019,6.8
411, Adrian Porumboiu,The Second Game,2014,6.3
412, Adrian Purcarescu,The Treasure,2016,6.7
413, Adrian Quinton,Kingsman: The Secret Service,2015,7.7
414, Adrian Rhodes,Khumba,2013,5.7
415, Adrian Schiller,Son of God,2014,5.7
416, Adrian Schiller,The Danish Girl,2016,7.1
417, Adrian Titieni,Chasing Rainbows,2012,7.1
418, Adrian Titieni,Domestic,2013,6.7
419, Adrian Titieni,Graduation,2016,7.3
420, Adriana Alexander,Barb Wire,1996,3.3
421, Adriana Altaras,My Fuhrer,2007,5.5
422, Adriana Botina,Holy Expectations,2019,4.6
423, Adriana Cataño,Trico Tri: Happy Halloween,2018,3.5
424, Adriana Paz,The Motive,2017,6.5
425, Adriana Paz,No One Will Ever Know,2020,6.5
426, Adriana Ugarte,Palm Trees in the Snow,2015,7.4
427, Adriana Ugarte,Tad the Lost Explorer and the Secret of King Midas (English Version),2017,6.2
428, Adriana Ugarte,Mirage,2019,7.4
429, Adriana Ugarte,Hache,2019,6.4
430, Adrianne Palicki,Legion,2010,5.3
431, Adrianne Palicki,Red Dawn,2012,5.4
432, Adrianne Palicki,S.W.A.T.: Under Siege,2017,4.6
433, Adriano Garib,Blood Pact,2018,7.0
434, Adriano Giannini,Consequences of Love,2004,7.5
435, Adriano Giannini,A Fairy Tale Wedding,2014,5.6
436, Adriano Qalbi,Love for Sale,2018,7.4
437, Adriano Zumbo,Sugar Rush Christmas,2019,6.9
438, Adrien Brody,The Pianist,2003,8.5
439, Adrien Brody,King Kong,2005,7.2
440, Adrien Brody,The Experiment,2010,6.4
441, Adrien Brody,Predators,2010,6.4
442, Adrien Brody,The Grand Budapest Hotel,2014,8.1
443, Adrien Brody,American Heist,2015,5.0
444, Adrien Brody,Septembers of Shiraz,2016,6.2
445, Adrien Brody,Backtrack,2016,6.0
446, Adrien Brunier,Daprès une Histoire Vraie,2017,7.2
447, Adrienn Réti,Poligamy,2009,5.8
448, Adrienne Branz,New Initial D the Movie Legend 2: Racer,2015,7.5
449, Adrienne DeFaria,Legend of the Guardians: The Owls of GaHoole,2010,6.9
450, Adrienne King,Friday the 13th,1980,6.5
451, Adrienne King,Friday the 13th: Part 2,1981,6.1
452, Adrienne Pickering,The Reef,2011,5.8
453, Adrienne Vergara,Gaya Sa Pelikula,2020,8.7
454, Adrià Collado,Km 31-2,2017,3.7
455, Adrià Salazar,The Photographer Of Mauthausen,2018,6.7
456, Adrián Salzedo,Tini: The New Life of Violetta,2016,5.5
457, Adrián Suar,I Married a Dumbass,2016,5.5
458, Adrián Suar,So Much Love to Give,2020,5.2
459, Adrián Yospe,"Pizza, birra, faso",1998,7.1
460, Ady An,Autumns Concerto,2009,8.0
461, Adzi Adamu,Up North,2019,5.5
462, Adèle Exarchopoulos,Blue Is the Warmest Color,2013,7.7
463, Adèle Exarchopoulos,The White Crow,2019,6.6
464, Adèle Simphal,Daprès une Histoire Vraie,2017,7.2
465, Ae-sim Kang,Kim Ji-Young: Born 1982,2019,7.4
466, Aeona Cruz,Casting JonBenet,2017,6.1
467, Afalean Lu,Game Winning Hit,2009,1.9
468, Afiya Bennett,Anon,2018,6.1
469, Afonso Padilha,COMEDIANS of the world,2019,6.5
470, Afra Saraçoglu,Kötü Çocuk,2017,2.0
471, Afra Saraçoglu,Good Game: The Beginning,2018,4.8
472, Aftab Shivdasani,Awara Paagal Deewana,2002,6.2
473, Aga Muhlach,A Love Story,2007,6.5
474, Aga Muhlach,Seven Sundays,2017,7.8
475, Aga Muhlach,Miracle in Cell No. 7,2020,7.5
476, Agata Buzek,Redemption,2013,6.2
477, Agata Buzek,The Innocents,2016,7.3
478, Agata Kulesza,Cold War,2018,7.6
479, Agathe Bonitzer,Osmosis,2019,5.9
480, Agathe Schlenker,Belle epine,2010,5.9
481, Aggie Hsieh,To the Dearest Intruder,2015,6.2
482, Aggy K. Adams,"Oh, Ramona!",2019,4.9
483, Agnes Bruckner,The Woods,2006,5.7
484, Agnes Bruckner,The Craigslist Killer,2011,5.3
485, Agnes Kittelsen,Max Manus: Man of War,2010,7.3
486, Agnes Kittelsen,Staying Alive,2015,5.8
487, Agnes Lindström Bolmgren,The Cake General,2018,6.8
488, Agnes Magruder,Without Gorky,2013,6.5
489, Agnese Graziani,Happy as Lazzaro,2018,7.5
490, Agnieszka Dygant,Botoks,2017,3.6
491, Agnieszka Dygant,Botoks,2018,4.4
492, Agnieszka Dygant,Women of Mafia,2018,4.7
493, Agnieszka Grochowska,Shameless,2012,5.2
494, Agnieszka Grochowska,In Darkness,2012,7.3
495, Agnieszka Grochowska,Walesa: Man of Hope,2013,6.5
496, Agnieszka Grochowska,Teen Spirit,2019,6.1
497, Agnieszka Mandat,Piąta pora roku,2012,6.3
498, Agnieszka Podsiadlik,Mug,2018,6.4
499, Agnieszka Sitek,Sekal Has to Die,1998,7.3
500, Agnieszka Warchulska,Back Home,2019,6.0
501, Agnieszka Wiedlocha,Planeta Singli,2016,6.8
502, Agnieszka Wiedlocha,Po Prostu Przyjaźń,2016,5.5
503, Agnieszka Wiedlocha,Kobieta sukcesu,2018,4.6
504, Agnieszka Wiedlocha,Proceder,2019,5.4
505, Agnieszka Wlodarczyk,Sara,1997,6.5
506, Agnieszka Zulewska,Sanctuary,2012,6.0
507, Agnieszka Zulewska,Chemo,2015,6.0
508, Agnieszka Zulewska,Squared Love,2021,5.0
509, Agustí Villaronga,The Whistlers,2019,6.3
510, Agustín Silva,Much Ado About Nothing,2016,6.5
511, Agyness Deyn,The Titan,2018,4.8
512, Ah-Niu,Para Para Sakura,2001,5.8
513, Ah-Niu,The Wedding Diary,2012,6.7
514, Ahd,Wadjda,2013,7.5
515, Ahd,Rattle the Cage,2015,6.7
516, Ahmad Abdulhalim,The Walls of the Moon,2015,5.7
517, Ahmad Adam,Alarmoty in the Land of Fire,2017,4.5
