X,Y,Films,Genre_most_awards
2010,1.0,1,Drama
2011,80.0,1,"Crime, Drama"
2012,1.0,1,Comedy
2013,5.0,2,"Documentary, Sport"
2014,51.0,4,"Documentary, War"
2015,58.0,6,"Drama, War"
2016,70.0,11,"Documentary, Crime, History, News"
2017,76.0,19,"Action, Crime, Drama"
2018,396.0,31,Drama
2019,366.0,39,"Comedy, Drama, Romance"
2020,163.0,30,"Drama, History, Thriller"
2021,5.0,1,Drama
