Year,Original,Series or Movie,Writer,Title,First_Writer,Films,Writers,Rating,Genre
2016.0,0.0,Movie,Paul McEvoy,Kung Fu Panda: Secrets of the Scroll,Paul McEvoy,1,1,7.1,FAMILY
2012.0,0.0,Movie,"Kay Cannon, Mickey Rapkin",Pitch Perfect,Kay Cannon,1,1,7.1,COMEDY
2013.0,0.0,Movie,Rajesh Touchriver,Naa Bangaaru Talli,Rajesh Touchriver,1,1,7.1,CRIME
2019.0,0.0,Movie,Ari Aster,Midsommar,Ari Aster,1,1,7.1,MYSTERY
2016.0,0.0,Movie,Yilmaz Erdogan,Ekşi Elmalar,Yilmaz Erdogan,1,1,7.1,DRAMA
2020.0,1.0,Movie,"Donald Ray Pollock, Antonio Campos, Paulo Campos",The Devil All The Time,Donald Ray Pollock,1,1,7.1,CRIME
2019.0,0.0,Movie,"Michael Schneider, Kazuki Nakashima",Promare,Michael Schneider,1,1,7.1,SCI-FI
2015.0,0.0,Series,John McNamara,Aquarius,John McNamara,1,1,7.1,BIOGRAPHY
2017.0,0.0,Movie,"Sreedevi Krishnan, Karthik R. Iyer, Bejoy Nambiar, Anjali Nair, Dhanya Suresh, Kartik R. Iyer",Solo,Sreedevi Krishnan,1,1,7.1,DRAMA
2020.0,0.0,Series,Thordur Palsson,The Valhalla Murders,Thordur Palsson,1,1,7.1,CRIME
2012.0,0.0,Movie,"Eric Khoo, Yoshihiro Tatsumi",Tatsumi,Eric Khoo,1,1,7.1,ANIMATION
2016.0,0.0,Movie,S. Craig Zahler,Bone Tomahawk,S. Craig Zahler,1,1,7.1,DRAMA
2010.0,0.0,Movie,Will Fetters,Remember Me,Will Fetters,1,1,7.1,DRAMA
2018.0,0.0,Movie,Taylor Sheridan,Sicario: Day of the Soldado,Taylor Sheridan,1,1,7.1,ADVENTURE
2016.0,0.0,Movie,"Min-Ah Kim, Ji-woo Jung",Fourth Place,Min-Ah Kim,1,1,7.1,DRAMA
2019.0,0.0,Series,"David Cormican, Dwayne Hill, Mark Bacci",Northern Rescue,David Cormican,1,1,7.1,DRAMA
2018.0,0.0,Movie,"Nakaba Suzuki, Makoto Uezu",The Seven Deadly Sins the Movie: Prisoners of the Sky,Nakaba Suzuki,1,1,7.1,ACTION
2015.0,0.0,Movie,"Martin Behnke, Burhan Qurbani",We Are Young. We Are Strong.,Martin Behnke,1,1,7.1,DRAMA
2014.0,0.0,Movie,"Vishal Bhardwaj, Abhishek Chaubey, Darab Farooqui",Dedh Ishqiya,Vishal Bhardwaj,1,1,7.1,DRAMA
2019.0,0.0,Movie,Ari Aster,Midsommar,Ari Aster,1,1,7.1,DRAMA
2016.0,0.0,Movie,"Tsutomu Kuroiwa, Hiroya Oku",Gantz:O,Tsutomu Kuroiwa,1,1,7.1,HORROR
2012.0,0.0,Movie,Jong-bin Yoon,Nameless Gangster: Rules of the Time,Jong-bin Yoon,1,1,7.1,ACTION
2014.0,0.0,Series,"Jean-Louis Vandestoc, David Michel",LoliRock,Jean-Louis Vandestoc,1,1,7.1,MUSICAL
2014.0,0.0,Series,"Bong Joon Ho, Kelly Masterson, Jean-Marc Rochette, Benjamin Legrand, Jacques Lob",Snowpiercer,Bong Joon Ho,1,1,7.1,SCI-FI
2016.0,0.0,Movie,"Daniel Maciel, Marcelo Aleixo Machado, Marcelo Rubens Paiva, Afonso Poyart",Stronger Than The World,Daniel Maciel,1,1,7.1,DRAMA
2014.0,0.0,Series,Nick Santora,Scorpion,Nick Santora,1,1,7.1,CRIME
2019.0,0.0,Movie,Stephen Merchant,Fighting with My Family,Stephen Merchant,1,1,7.1,COMEDY
2015.0,0.0,Movie,Tom Williams,Kajaki: The True Story,Tom Williams,1,1,7.1,ADVENTURE
2019.0,0.0,Series,Kazuma Kamachi,A Certain Scientific Accelerator,Kazuma Kamachi,1,1,7.1,COMEDY
2017.0,0.0,Movie,"Saliya Kahawatte, Oliver Ziegenbalg, Ruth Toma",My Blind Date with Life,Saliya Kahawatte,1,1,7.1,COMEDY
2017.0,0.0,Movie,"Rajshri Sudhakar, Vijay Kumar Mishra, Sanjay Masoomm",Kaabil,Rajshri Sudhakar,1,1,7.1,ACTION
2014.0,0.0,Series,"Jean-Louis Vandestoc, David Michel",LoliRock,Jean-Louis Vandestoc,1,1,7.1,COMEDY
2016.0,0.0,Movie,"Anna Waterhouse, Joe Shrapnel",Race,Anna Waterhouse,1,1,7.1,SPORT
2013.0,0.0,Movie,Scott Z. Burns,Side Effects,Scott Z. Burns,1,1,7.1,THRILLER
2018.0,0.0,Movie,"Nakaba Suzuki, Makoto Uezu",The Seven Deadly Sins the Movie: Prisoners of the Sky,Nakaba Suzuki,1,1,7.1,FANTASY
2013.0,0.0,Movie,"David Lindsay-Abaire, William Steig",Shrek the Musical,David Lindsay-Abaire,1,1,7.1,FAMILY
2012.0,0.0,Movie,"Rick Porrello, Jonathan Hensleigh, Jeremy Walters",Kill the Irishman,Rick Porrello,1,1,7.1,CRIME
2013.0,0.0,Movie,Rajesh Touchriver,Naa Bangaaru Talli,Rajesh Touchriver,1,1,7.1,DRAMA
2014.0,0.0,Series,"Jean-Louis Vandestoc, David Michel",LoliRock,Jean-Louis Vandestoc,1,1,7.1,ACTION
2014.0,0.0,Movie,"Tijs van Marle, Moniek Kramer",Lucia de B.,Tijs van Marle,1,1,7.1,DRAMA
2016.0,0.0,Movie,"Jonathan Aibel, Glenn Berger",Kung Fu Panda 3,Jonathan Aibel,1,1,7.1,ADVENTURE
2011.0,0.0,Movie,"Latif Yahia, Emjay Rechsteiner, Michael Thomas",The Devils Double,Latif Yahia,1,1,7.1,DRAMA
2014.0,0.0,Movie,"Tijs van Marle, Moniek Kramer",Lucia de B.,Tijs van Marle,1,1,7.1,THRILLER
2018.0,0.0,Movie,Taylor Sheridan,Sicario: Day of the Soldado,Taylor Sheridan,1,1,7.1,MYSTERY
2019.0,0.0,Series,Blaz Kutin,Lara,Blaz Kutin,1,1,7.1,MUSIC
2018.0,0.0,Movie,"Cyrus Saidi, Bert Marcus",What We Started,Cyrus Saidi,1,1,7.1,DOCUMENTARY
2020.0,0.0,Movie,"Nicolas Gueilburt, Gianfranco Quattrini, Matías Gueilburt",Guillermo Vilas: Settling the Score,Nicolas Gueilburt,1,1,7.1,SPORT
2013.0,0.0,Series,Jessica Knappett,Drifters,Jessica Knappett,1,1,7.1,COMEDY
2010.0,0.0,Movie,Xavier Dolan,Heartbeats,Xavier Dolan,1,1,7.1,DRAMA
2012.0,0.0,Movie,"Dan Hageman, Robert Smigel, Peter Baynham, Kevin Hageman, Todd Durham",Hotel Transylvania,Dan Hageman,1,1,7.1,COMEDY
2011.0,0.0,Movie,"Richard Matheson, Jeremy Leven, Dan Gilroy, John Gatins",Real,Richard Matheson,1,1,7.1,SPORT
2011.0,0.0,Movie,"Richard Matheson, Jeremy Leven, Dan Gilroy, John Gatins",Real Steel,Richard Matheson,1,1,7.1,SPORT
2015.0,0.0,Movie,Jane Preston,Gascoigne,Jane Preston,1,1,7.1,SPORT
2016.0,0.0,Movie,"Daniel Maciel, Marcelo Aleixo Machado, Marcelo Rubens Paiva, Afonso Poyart",Stronger Than The World,Daniel Maciel,1,1,7.1,SPORT
2019.0,0.0,Movie,Daniel Stiepleman,On the Basis of Sex,Daniel Stiepleman,1,1,7.1,DRAMA
2012.0,0.0,Movie,"Hiro Mashima, Masashi Sogo, John Burgmeier, Tyler Walker, Monica Rial",Fairy Tail the Movie: Phoenix Priestess,Hiro Mashima,1,1,7.1,FANTASY
2015.0,0.0,Movie,"Martin Behnke, Burhan Qurbani",We Are Young. We Are Strong.,Martin Behnke,1,1,7.1,HISTORY
2018.0,0.0,Movie,"Ha-Yong Jung, WooSuk Yang",Steel Rain,Ha-Yong Jung,1,1,7.1,THRILLER
2018.0,0.0,Movie,"Ha-Yong Jung, WooSuk Yang",Steel Rain,Ha-Yong Jung,1,1,7.1,DRAMA
2015.0,0.0,Movie,"Olivier Guez, Lars Kraume, Brian Cordray",The People vs. Fritz Bauer,Olivier Guez,1,1,7.1,DRAMA
2015.0,0.0,Movie,"Edmond Wong, Lai-Yin Leung, Tai-lee Chan",Ip Man 3,Edmond Wong,1,1,7.1,ACTION
2014.0,0.0,Movie,Erik Parker,Time Is Illmatic,Erik Parker,1,1,7.1,HISTORY
2014.0,0.0,Movie,Errol Morris,The Unknown Known,Errol Morris,1,1,7.1,HISTORY
2014.0,0.0,Movie,"Han-min Kim, Cheol-Hong Jeon",The Admiral: Roaring Currents,Han-min Kim,1,1,7.1,HISTORY
2015.0,0.0,Movie,"Edmond Wong, Lai-Yin Leung, Tai-lee Chan",Ip Man 3,Edmond Wong,1,1,7.1,HISTORY
2017.0,0.0,Movie,Seung-wan Ryoo,The Battleship Island,Seung-wan Ryoo,1,1,7.1,DRAMA
2010.0,0.0,Movie,"John Ajvide Lindqvist, Matt Reeves",Let Me In,John Ajvide Lindqvist,1,1,7.1,DRAMA
2018.0,0.0,Movie,Carlos Ballarta,Carlos Ballarta: Furia Ñera,Carlos Ballarta,1,1,7.1,COMEDY
2011.0,0.0,Movie,"Dong-Woo Kim, Lyeo-ryung Kim",Punch,Dong-Woo Kim,1,1,7.1,SPORT
2013.0,0.0,Movie,Byung-woo Kim,The Terror Live,Byung-woo Kim,1,1,7.1,ACTION
2010.0,0.0,Movie,"John Ajvide Lindqvist, Matt Reeves",Let Me In,John Ajvide Lindqvist,1,1,7.1,FANTASY
2017.0,0.0,Movie,"Sreedevi Krishnan, Karthik R. Iyer, Bejoy Nambiar, Anjali Nair, Dhanya Suresh, Kartik R. Iyer",Solo,Sreedevi Krishnan,1,1,7.1,THRILLER
2014.0,0.0,Movie,Erik Parker,Time Is Illmatic,Erik Parker,1,1,7.1,BIOGRAPHY
2019.0,1.0,Movie,"Rachel Lears, Robin Blotnick",Knock Down The House,Rachel Lears,1,1,7.1,DOCUMENTARY
2015.0,0.0,Movie,Jaswinder Bancil,Sir Alex Ferguson: Secrets of Success,Jaswinder Bancil,1,1,7.1,DOCUMENTARY
2010.0,0.0,Movie,"John Ajvide Lindqvist, Matt Reeves",Let Me In,John Ajvide Lindqvist,1,1,7.1,THRILLER
2020.0,0.0,Series,"David Wiener, Brian Taylor, Grant Morrison",Brave New World,David Wiener,1,1,7.1,SCI-FI
2016.0,0.0,Movie,Yilmaz Erdogan,Ekşi Elmalar,Yilmaz Erdogan,1,1,7.1,HISTORY
2019.0,1.0,Series,Christopher Keyser,The Society,Christopher Keyser,1,1,7.1,THRILLER
2020.0,0.0,Movie,Leigh Whannell,The Invisible Man,Leigh Whannell,1,1,7.1,SCI-FI
2017.0,0.0,Movie,"Soo-Hyun Kim, Yoon Je-Hwan, Minkyu Lee, Takashi Yamada",Shimajiro to Ehon no Kuni,Soo-Hyun Kim,1,1,7.1,FAMILY
2019.0,0.0,Series,Kazuma Kamachi,A Certain Scientific Accelerator,Kazuma Kamachi,1,1,7.1,FANTASY
2013.0,0.0,Movie,"Ayan Mukherjee, Hussain Dalal",Yeh Jawaani Hai Deewani,Ayan Mukherjee,1,1,7.1,MUSIC
2018.0,0.0,Movie,"Andrés Duprat, Gastón Duprat",Mi Obra Maestra,Andrés Duprat,1,1,7.1,COMEDY
2019.0,0.0,Series,Kazuma Kamachi,A Certain Scientific Accelerator,Kazuma Kamachi,1,1,7.1,DRAMA
2017.0,0.0,Series,"Brian Murphy, Emily Axford",Hot Date,Brian Murphy,1,1,7.1,COMEDY
2017.0,0.0,Movie,Angela Robinson,Professor Marston and the Wonder Women,Angela Robinson,1,1,7.1,HISTORY
2016.0,0.0,Movie,"Stephanie Saul, Matthew Michael Carnahan, David Rohde, Matthew Sand, David Barstow",Deepwater Horizon,Stephanie Saul,1,1,7.1,HISTORY
2012.0,0.0,Movie,"Hiro Mashima, Masashi Sogo, John Burgmeier, Tyler Walker, Monica Rial",Fairy Tail the Movie: Phoenix Priestess,Hiro Mashima,1,1,7.1,COMEDY
2010.0,0.0,Movie,"Ned Vizzini, Ryan Fleck, Anna Boden",Its Kind of a Funny Story,Ned Vizzini,1,1,7.1,COMEDY
2015.0,0.0,Series,"Ryan Murphy, Brad Falchuk, Ian Brennan",Scream Queens,Ryan Murphy,1,1,7.1,HORROR
2015.0,0.0,Series,Andrew Dillon,Danger Mouse,Andrew Dillon,1,1,7.1,ADVENTURE
2011.0,0.0,Movie,"Nicholas Stoller, Jason Segel, Jim Henson",The Muppets,Nicholas Stoller,1,1,7.1,MUSICAL
2013.0,0.0,Movie,"David Lindsay-Abaire, William Steig",Shrek the Musical,David Lindsay-Abaire,1,1,7.1,MUSICAL
2016.0,0.0,Movie,Carlos Ballarta,Carlos Ballarta:  El Amor Es De Putos,Carlos Ballarta,1,1,7.1,COMEDY
2016.0,0.0,Movie,"Peter Middleton, James Spinney",Notes on Blindness,Peter Middleton,1,1,7.1,DRAMA
2016.0,0.0,Movie,"Stephanie Saul, Matthew Michael Carnahan, David Rohde, Matthew Sand, David Barstow",Deepwater Horizon,Stephanie Saul,1,1,7.1,ACTION
2019.0,0.0,Movie,"Kristin Parreño Barrameda, Jaime Habac Jr.",Sakaling Maging Tayo,Kristin Parreño Barrameda,1,1,7.1,COMEDY
2020.0,0.0,Series,Jason George,Into the Night,Jason George,1,1,7.1,THRILLER
2015.0,0.0,Movie,"Cornelius Uliano, Craig Schulz, Charles M. Schulz, Bryan Schulz",The Peanuts Movie,Cornelius Uliano,1,1,7.1,ANIMATION
2017.0,0.0,Movie,"Blazej Dzikowski, Violetta Ozminkowski, Krzysztof Rak, Dominika Hilszczanska",The Art of Loving,Blazej Dzikowski,1,1,7.1,DRAMA
2015.0,0.0,Movie,Nancy Meyers,The Intern,Nancy Meyers,1,1,7.1,DRAMA
2016.0,0.0,Movie,Paul McEvoy,Kung Fu Panda: Secrets of the Scroll,Paul McEvoy,1,1,7.1,ACTION
2016.0,0.0,Movie,"David Ebershoff, Lucinda Coxon",The Danish Girl,David Ebershoff,1,1,7.1,DRAMA
2015.0,0.0,Movie,"A.R. Murugadoss, Rajat Arora, D.S. Kannan",Gabbar Is Back,A.R. Murugadoss,1,1,7.1,CRIME
2015.0,0.0,Movie,"Vasudhorn Piyaromna, Thodsapon Thiptinnakorn, Chayanop Boonprakob, Nottapon Boonprakob",May Who?,Vasudhorn Piyaromna,1,1,7.1,COMEDY
2016.0,0.0,Movie,"Anna Waterhouse, Joe Shrapnel",Race,Anna Waterhouse,1,1,7.1,BIOGRAPHY
2018.0,0.0,Movie,"Ho-min Ju, Yong-hwa Kim",Along with the Gods: The Last 49 Days,Ho-min Ju,1,1,7.1,ACTION
2017.0,0.0,Movie,Martin Koolhoven,Brimstone,Martin Koolhoven,1,1,7.1,WESTERN
2016.0,0.0,Movie,S. Craig Zahler,Bone Tomahawk,S. Craig Zahler,1,1,7.1,WESTERN
2016.0,0.0,Movie,"Nikolaj Arcel, Rasmus Heisterberg, Mikkel Nørgaard, Jussi Adler-Olsen",Department Q: The Absent One,Nikolaj Arcel,1,1,7.1,MYSTERY
2016.0,0.0,Movie,"Isabel Peña, Rodrigo Sorogoyen",May God Forgive Us,Isabel Peña,1,1,7.1,MYSTERY
2014.0,0.0,Movie,"Vishal Bhardwaj, Abhishek Chaubey, Darab Farooqui",Dedh Ishqiya,Vishal Bhardwaj,1,1,7.1,ROMANCE
2013.0,0.0,Movie,"Ayan Mukherjee, Hussain Dalal",Yeh Jawaani Hai Deewani,Ayan Mukherjee,1,1,7.1,MUSICAL
2015.0,0.0,Movie,"Je-Yeong Kim, Harry Segall",Wonderful Nightmare,Je-Yeong Kim,1,1,7.1,DRAMA
2016.0,0.0,Movie,"Rodo Sayagues, Fede Alvarez",A Man in the Dark,Rodo Sayagues,1,1,7.1,CRIME
2013.0,0.0,Movie,"Dick van den Heuvel, Carry Slee, Maria Peters",Spijt,Dick van den Heuvel,1,1,7.1,DRAMA
2015.0,0.0,Movie,"William Nicholson, Simon Beaufoy",Everest,William Nicholson,1,1,7.1,ACTION
2017.0,0.0,Movie,"Yoshikazu Okada, Hisashi Nakahara, Mai Nakahara",The 8-Year Engagement,Yoshikazu Okada,1,1,7.1,ROMANCE
2018.0,0.0,Movie,"Barry Jenkins, James Baldwin",If Beale Street Could Talk,Barry Jenkins,1,1,7.1,DRAMA
2020.0,0.0,Movie,Leigh Whannell,The Invisible Man,Leigh Whannell,1,1,7.1,THRILLER
2018.0,0.0,Movie,"Will Collins, Damien O'Connor, Frank McCourt",Angelas Christmas,Will Collins,1,1,7.1,ADVENTURE
2016.0,0.0,Movie,"Irene Villamor, Mia Concio",Everything About Her,Irene Villamor,1,1,7.1,DRAMA
2013.0,0.0,Movie,Yeong-ah Yoo,My Paparotti,Yeong-ah Yoo,1,1,7.1,MUSIC
2013.0,0.0,Movie,Scott Z. Burns,Side Effects,Scott Z. Burns,1,1,7.1,DRAMA
2011.0,0.0,Movie,"Oi Wah Lam, Joyce Chan",Dragon,Oi Wah Lam,1,1,7.1,ACTION
2017.0,0.0,Movie,S. Craig Zahler,Brawl in Cell Block 99,S. Craig Zahler,1,1,7.1,ACTION
2019.0,0.0,Series,Kazuma Kamachi,A Certain Scientific Accelerator,Kazuma Kamachi,1,1,7.1,ANIMATION
2016.0,0.0,Movie,"Irene Villamor, Mia Concio",Everything About Her,Irene Villamor,1,1,7.1,COMEDY
2015.0,0.0,Movie,"Cornelius Uliano, Craig Schulz, Charles M. Schulz, Bryan Schulz",The Peanuts Movie,Cornelius Uliano,1,1,7.1,COMEDY
2016.0,0.0,Movie,"Jocelyn Clarke, Peter Foott, Hilary Rose",The Young Offenders,Jocelyn Clarke,1,1,7.1,COMEDY
2019.0,1.0,Movie,"Karim Amer, Pedro Kos, Erin Barnett",The Great Hack,Karim Amer,1,1,7.1,HISTORY
2018.0,0.0,Movie,Christian Frosch,Murer: Anatomy of a Trial,Christian Frosch,1,1,7.1,HISTORY
2017.0,0.0,Movie,Seung-wan Ryoo,The Battleship Island,Seung-wan Ryoo,1,1,7.1,HISTORY
2018.0,0.0,Movie,Jim Cummings,Thunder Road,Jim Cummings,1,1,7.1,DRAMA
2019.0,0.0,Series,Dwayne Johnson,The Titan Games,Dwayne Johnson,1,1,7.1,REALITY-TV
2013.0,0.0,Movie,Byung-woo Kim,The Terror Live,Byung-woo Kim,1,1,7.1,CRIME
2017.0,0.0,Movie,John Butler,Handsome Devil,John Butler,1,1,7.1,SPORT
2016.0,0.0,Movie,"Daniel Chuba, Xuan Liang",Big Fish and Begonia,Daniel Chuba,1,1,7.1,DRAMA
2016.0,0.0,Movie,"Min-Ah Kim, Ji-woo Jung",Fourth Place,Min-Ah Kim,1,1,7.1,SPORT
2015.0,0.0,Movie,Jaswinder Bancil,Sir Alex Ferguson: Secrets of Success,Jaswinder Bancil,1,1,7.1,SPORT
2019.0,0.0,Movie,"Michael Schneider, Kazuki Nakashima",Promare,Michael Schneider,1,1,7.1,FANTASY
2014.0,0.0,Series,"Arne Nolting, Jan Martin Scharf",Friesland,Arne Nolting,1,1,7.1,CRIME
2012.0,0.0,Movie,"John Wagner, Alex Garland, Carlos Ezquerra",Dredd,John Wagner,1,1,7.1,ACTION
2019.0,1.0,Series,Christopher Keyser,The Society,Christopher Keyser,1,1,7.1,SCI-FI
2016.0,0.0,Movie,"Jonathan Aibel, Glenn Berger",Kung Fu Panda 3,Jonathan Aibel,1,1,7.1,ACTION
2016.0,0.0,Movie,"Doug Jung, Gene Roddenberry, Simon Pegg",Star Trek Beyond,Doug Jung,1,1,7.1,ADVENTURE
2018.0,0.0,Movie,"Barry Jenkins, James Baldwin",If Beale Street Could Talk,Barry Jenkins,1,1,7.1,ROMANCE
2016.0,0.0,Movie,Paul McEvoy,Kung Fu Panda: Secrets of the Scroll,Paul McEvoy,1,1,7.1,SHORT
2017.0,0.0,Movie,"Ramashrit Joshi, Kamna Chandra, Tanuja Chandra, Gazal Dhaliwal",Qarib Qarib Singlle,Ramashrit Joshi,1,1,7.1,ROMANCE
2017.0,0.0,Movie,"Ramashrit Joshi, Kamna Chandra, Tanuja Chandra, Gazal Dhaliwal",Qarib Qarib Singlle,Ramashrit Joshi,1,1,7.1,COMEDY
2015.0,0.0,Movie,Tom Williams,Kajaki: The True Story,Tom Williams,1,1,7.1,DRAMA
2015.0,0.0,Movie,"William Nicholson, Simon Beaufoy",Everest,William Nicholson,1,1,7.1,THRILLER
2013.0,0.0,Movie,"Don Heck, Warren Ellis, Shane Black, Drew Pearce, Jack Kirby, Larry Lieber, Adi Granov, Stan Lee",Iron Man 3,Don Heck,1,1,7.1,ADVENTURE
2014.0,0.0,Series,"Gili Dolev, Yvette Kaplan",Zack and Quack,Gili Dolev,1,1,7.1,ANIMATION
2019.0,0.0,Series,"David Cormican, Dwayne Hill, Mark Bacci",Northern Rescue,David Cormican,1,1,7.1,FAMILY
2013.0,0.0,Movie,"Ui-seok Jo, Kin-Yee Au, Nai-Hoi Yau",Cold Eyes,Ui-seok Jo,1,1,7.1,THRILLER
2016.0,0.0,Movie,"Doug Jung, Gene Roddenberry, Simon Pegg",Star Trek Beyond,Doug Jung,1,1,7.1,ACTION
2016.0,0.0,Movie,Steven Knight,Allied,Steven Knight,1,1,7.1,ACTION
2015.0,0.0,Movie,Nancy Meyers,The Intern,Nancy Meyers,1,1,7.1,COMEDY
2014.0,0.0,Movie,"Tijs van Marle, Moniek Kramer",Lucia de B.,Tijs van Marle,1,1,7.1,CRIME
2012.0,0.0,Movie,"Byung-gil Jung, Won-Chan Hong, Dong-kyu Kim",Confession of Murder,Byung-gil Jung,1,1,7.1,ACTION
2019.0,1.0,Movie,"Karim Amer, Pedro Kos, Erin Barnett",The Great Hack,Karim Amer,1,1,7.1,BIOGRAPHY
2016.0,0.0,Movie,Steven Knight,Allied,Steven Knight,1,1,7.1,THRILLER
2020.0,0.0,Movie,Leigh Whannell,The Invisible Man,Leigh Whannell,1,1,7.1,DRAMA
2016.0,0.0,Series,Mati Kochavi,Dark Net,Mati Kochavi,1,1,7.1,DOCUMENTARY
2021.0,0.0,Series,Yûki Yaku,Bottom-Tier Character Tomozaki,Yûki Yaku,1,1,7.1,ANIMATION
2019.0,0.0,Series,Kazuma Kamachi,A Certain Scientific Accelerator,Kazuma Kamachi,1,1,7.1,ACTION
2016.0,0.0,Movie,"Christy Beam, Randy Brown",Miracles from Heaven,Christy Beam,1,1,7.1,BIOGRAPHY
2018.0,1.0,Series,Scott Weintrob,Fastest Car,Scott Weintrob,1,1,7.1,REALITY-TV
2018.0,0.0,Movie,"Cheo Hodari Coker, Ryan Coogler, Sascha Penn, Sylvester Stallone, Juel Taylor",Creed II,Cheo Hodari Coker,1,1,7.1,SPORT
2011.0,0.0,Movie,"Eilis Kirwan, Larysa Kondracki",The Whistleblower,Eilis Kirwan,1,1,7.1,BIOGRAPHY
2016.0,0.0,Movie,"Rodo Sayagues, Fede Alvarez",A Man in the Dark,Rodo Sayagues,1,1,7.1,THRILLER
2017.0,0.0,Movie,"Blazej Dzikowski, Violetta Ozminkowski, Krzysztof Rak, Dominika Hilszczanska",The Art of Loving,Blazej Dzikowski,1,1,7.1,COMEDY
2015.0,0.0,Movie,Colin Quinn,Colin Quinn: Unconstitutional,Colin Quinn,1,1,7.1,COMEDY
2017.0,0.0,Movie,"Claus Räfle, Alejandra López",The Invisibles,Claus Räfle,1,1,7.1,HISTORY
2019.0,1.0,Series,"Idris Elba, Gary Reich",Turn Up Charlie,Idris Elba,1,1,7.1,COMEDY
2018.0,0.0,Movie,"Azhar Amirulhisyam, Kyle Goonting, Anwari Ashraf, Alfie Palermo, Salman Aristo, Joel Soh, Chi-Ren Choong",Polis Evo 2,Azhar Amirulhisyam,1,1,7.1,ACTION
2013.0,0.0,Movie,"David Lindsay-Abaire, William Steig",Shrek the Musical,David Lindsay-Abaire,1,1,7.1,MUSIC
2014.0,0.0,Movie,"Frank Cottrell Boyce, Eric Lomax, Andy Paterson",The Railway Man,Frank Cottrell Boyce,1,1,7.1,BIOGRAPHY
2015.0,0.0,Movie,"Josh Kim, Rattawut Lapcharoensap",How to Win at Checkers (Every Time),Josh Kim,1,1,7.1,DRAMA
2012.0,0.0,Movie,"Kay Cannon, Mickey Rapkin",Pitch Perfect,Kay Cannon,1,1,7.1,ROMANCE
2016.0,0.0,Movie,"Jonathan Aibel, Glenn Berger",Kung Fu Panda 3,Jonathan Aibel,1,1,7.1,ANIMATION
2017.0,0.0,Movie,John Butler,Handsome Devil,John Butler,1,1,7.1,DRAMA
2020.0,1.0,Movie,Jack Fincher,MANK,Jack Fincher,1,1,7.1,BIOGRAPHY
2018.0,0.0,Movie,"Andrés Duprat, Gastón Duprat",Mi Obra Maestra,Andrés Duprat,1,1,7.1,DRAMA
2019.0,0.0,Movie,"Catherine Paillé, Jean-Bernard Marlin",Shéhérazade,Catherine Paillé,1,1,7.1,DRAMA
2016.0,0.0,Movie,"Jong-dae Park, Kathy Pilon, Ji-min Lee, Jee-woon Kim",The Age of Shadows,Jong-dae Park,1,1,7.1,THRILLER
2020.0,0.0,Series,Darren Star,Emily in Paris,Darren Star,1,1,7.1,DRAMA
2011.0,0.0,Movie,"Richard Matheson, Jeremy Leven, Dan Gilroy, John Gatins",Real Steel,Richard Matheson,1,1,7.1,SCI-FI
2019.0,0.0,Movie,"Michael Schneider, Kazuki Nakashima",Promare,Michael Schneider,1,1,7.1,ANIMATION
2018.0,0.0,Movie,"Ha-Yong Jung, WooSuk Yang",Steel Rain,Ha-Yong Jung,1,1,7.1,ACTION
2016.0,0.0,Movie,"Isabel Peña, Rodrigo Sorogoyen",May God Forgive Us,Isabel Peña,1,1,7.1,THRILLER
2011.0,0.0,Movie,"Yoshiki Takahashi, Sion Sono",Cold Fish,Yoshiki Takahashi,1,1,7.1,THRILLER
2019.0,1.0,Movie,"Karim Amer, Pedro Kos, Erin Barnett",The Great Hack,Karim Amer,1,1,7.1,DOCUMENTARY
2020.0,0.0,Series,"Loris Kramer Lunsford, Jason Netter",StarBeam,Loris Kramer Lunsford,1,1,7.1,ANIMATION
2010.0,0.0,Series,Tozen Ujiie,Seitokai Yakuindomo,Tozen Ujiie,1,1,7.1,ANIMATION
2020.0,1.0,Movie,Jack Fincher,MANK,Jack Fincher,1,1,7.1,COMEDY
2010.0,0.0,Movie,José Antônio de Souza,Reflexões de um Liquidificador,José Antônio de Souza,1,1,7.1,COMEDY
2017.0,0.0,Movie,Atanu Ghosh,​Mayurakshi,Atanu Ghosh,1,1,7.1,DRAMA
2016.0,0.0,Series,Garth Jennings,Sing Yesterday for Me,Garth Jennings,1,1,7.1,MUSICAL
2015.0,0.0,Movie,"William Nicholson, Simon Beaufoy",Everest,William Nicholson,1,1,7.1,DRAMA
2014.0,0.0,Movie,Justin Lader,The One I Love,Justin Lader,1,1,7.1,SCI-FI
2016.0,0.0,Movie,"Daniel Chuba, Xuan Liang",Big Fish and Begonia,Daniel Chuba,1,1,7.1,ADVENTURE
2011.0,0.0,Movie,"Richard Matheson, Jeremy Leven, Dan Gilroy, John Gatins",Real,Richard Matheson,1,1,7.1,DRAMA
2012.0,0.0,Movie,"Hiro Mashima, Masashi Sogo, John Burgmeier, Tyler Walker, Monica Rial",Fairy Tail the Movie: Phoenix Priestess,Hiro Mashima,1,1,7.1,ADVENTURE
2011.0,0.0,Movie,"Richard Matheson, Jeremy Leven, Dan Gilroy, John Gatins",Real Steel,Richard Matheson,1,1,7.1,DRAMA
2010.0,0.0,Movie,"Nicholas Fackler, Tim Kasher","Lovely, Still",Nicholas Fackler,1,1,7.1,DRAMA
2016.0,0.0,Movie,Paul McEvoy,Kung Fu Panda: Secrets of the Scroll,Paul McEvoy,1,1,7.1,ADVENTURE
