Year,Films,IMDb_Score,Genre
2016,6,7.533333333333332,DOCUMENTARY
2016,13,7.361538461538462,DRAMA
2016,9,6.788888888888889,FAMILY
2016,8,7.125,FANTASY
2016,0,0.0,FILM-NOIR
2016,0,0.0,GAME-SHOW
2016,1,8.7,HISTORY
2016,2,6.35,HORROR
2016,3,8.333333333333334,MUSIC
2016,3,8.333333333333334,MUSICAL
2016,5,7.74,MYSTERY
2016,0,0.0,NEWS
2016,2,5.300000000000001,REALITY-TV
2016,2,6.85,ROMANCE
2016,6,6.666666666666667,SCI-FI
2016,1,6.6,SHORT
2016,1,8.5,SPORT
2016,0,0.0,TALK-SHOW
2016,2,7.85,THRILLER
2016,0,0.0,WAR
2016,1,7.5,WESTERN
2017,8,7.125,ACTION
2017,0,0.0,ADULT
2017,12,6.908333333333334,ADVENTURE
